How many possibilities at the very first move?,10,20,30,40,20
Where was Mikhail Tal born?,Georgia,Armenia,Russia,Latvia,Latvia
Where was Judith Polgar born?,Germany,USA,Hungary,Switzerland,Hungary
Where is Magnus Carlsen from?,Portugal,USA,Sweden,Norway,Norway
Where did Jose Raul Capablanca die?,USA,Portugal,Spain,Mexico,USA
Which movie has a chess game in it?,The Patzer,Inception,A Game of Shodows,Mate at the Gate,A Game of Shadows
Who plays in the movie “Game Over”?,Bobby Fischer,Karparov,Kasparov,Eric Hansen,Kasparov
1.d4 Nf6 2.c4 e6 3.Nc3 Bb4  whats the name of this defense?,Indian Ninja,Nimzo-Indian,Budapest,Bang bang,Nimzo-indian
1.d4 Nf6 2.c4 c5 3.d5 e6 Name of this defense?,Modern Benoni,French ,Berlin,Hodor Defense,Modern Benoni
Which actor played chess frequently?,John wayne,Johnny Depp,Tom Cruise,Di Caprio,John wayne
First game played between earth and space?,Apollo5,Apollo11,Soyuz 9,Mars Rover,Soyuz 9
Which year was Pawn moves 2 squares introduced ?,680,1200,1280,1920,1280
What does “en passant” mean?,In passing,pass or burn,pass in Fuss,passing by,In Passing
Meaniing of Pawn in german?,Culprit,King,Peasant,Soldier,Peasant
Origin of Chess?,Persia,Republic of Wadiya,India,USA,India
What was kasparov’s last name before it was changed,Weinstein,Einstein,Dreistein,Achtstein,Weinstein
Which world champion was defeated by Bobby Fisher most recently?,Karparov,Kasparov,Spassky,Magnus Carlsen,Spassky
what is zwischenzug?,A train to Germany,A chess opening,In between move,A chess gambler,In between move
How many US Championships did Fischer win?,8,10,14,2,8
The musical “Chess” is based on which Grandmaster?,Benoni,Alekhine,Viktor Korchnoi,Anand,Viktor Korchnoi
Shortest possible checkmate is how many move?,1,2,3,4,2
Who won the first women’s world chess championship?,Vera Menchik,Julia Roberts,Judit Polgar,Anna Katherina ,Vera Menchik
"Who quoted ?“A chess-master should be a combination of a beast of prey and a monk""",Tal,Alekhine,Fischer,Capablanca,Alekhine
Which word is not related to chess?,Zugzwang,Zwischenzug,Ziegezwang,Schach,Ziegezwang
When was FIDE founded?,1800,1856,1924,1978,1924
Who was the world chess champion 2005 ?,Topalov,Anand,Kramnik,Kamsky,Topalov
Who is the women’s world campion 2017?,Hou Yifan,Anna Uscheniina,Zhongyi,Xie Jun,Zhongyi
"""J'adoube"" means?",I resign,I adjust,I leave,I rage quit,I adjust
Royal fork involves which pieces?,"Pawn, Rook, Rook","knight, King, Queen","Knight, Rook, Rook","Pawn, King, Queen","knight, king, queen"
Which blind musician used to play chess?,Ray Charles,Stevie Wonder,Art Tatum,Andrea Bocelli,Ray charles
